T,P,S,O,D,A
113,1,2,2,0,1
74,3,4,8,0,2
186,2,4,2,0,1
12,2,4,2,0,3
7,1,2,2,0,3
149,1,7,6,0,2
2,2,4,2,0,1
372,1,3,8,0,3
1264,1,3,8,0,1
14,1,3,2,0,5
19,1,2,2,0,3
7,1,2,2,0,7
131,2,3,8,0,1
11,2,4,2,0,2
77,2,4,2,0,3
50,1,3,1,0,2
2,2,4,2,0,1
18,1,4,1,0,1
29,1,4,1,0,2
50,2,4,1,0,1
50,3,4,1,0,1
30,1,4,2,0,3
36,2,4,2,0,2
142,2,4,2,0,1
14,2,3,2,0,1
7,2,4,4,0,1
50,2,4,1,0,1
493,2,4,2,0,1
1264,4,4,2,0,6
142,2,3,2,0,3
70,2,4,2,0,2
108,3,4,8,0,1
108,2,3,8,0,1
1,3,4,8,0,1
1,2,4,2,0,3
197,2,7,6,0,1
48,2,4,17,0,2
14,2,2,17,0,3
7,2,4,8,0,1
48,1,4,2,0,4
61,2,4,8,0,1
372,3,4,8,0,8
2,2,7,8,0,1
137,3,4,3,0,1
119,2,2,2,0,5
30,3,5,2,0,1
125,3,5,2,0,1
125,2,4,8,0,1
16,1,2,2,0,4
13,2,4,9,0,2
137,2,4,2,0,1
19,1,3,2,0,3
64,1,2,2,0,8
4,2,4,2,0,1
1,1,3,2,0,2
430,2,3,2,0,3
1,1,2,2,0,3
